FID,location,zone,stat_num,Site_Zone,elev,Tmax_wt,Tmax_sp,Tmax_sm,Tmax_at,Tmin_wt,Tmin_sp,Tmin_sm,Tmin_at,Tave_wt,Tave_sp,Tave_sm,Tave_at,PPT_wt,PPT_sp,PPT_sm,PPT_at,DD_0_wt,DD_0_sp,DD_0_sm,DD_0_at,DD5_wt,DD5_sp,DD5_sm,DD5_at,DD_18_wt,DD_18_sp,DD_18_sm,DD_18_at,DD18_wt,DD18_sp,DD18_sm,DD18_at,NFFD_wt,NFFD_sp,NFFD_sm,NFFD_at,PAS_wt,PAS_sp,PAS_sm,PAS_at,Eref_wt,Eref_sp,Eref_sm,Eref_at,CMD_wt,CMD_sp,CMD_sm,CMD_at,RH_wt,RH_sp,RH_sm,RH_at
153,Parto_B6,B,6,Parto_B,997,-6.2,7.7,18,5.2,-14.7,-3.7,6.9,-2.7,-10.5,2,12.4,1.2,74,127,470,175,952,170,0,199,0,118,685,99,2546,1471,518,1529,0,1,10,4,1,25,89,28,69,94,7,81,0,114,254,38,0,63,0,0,63,59,65,71
154,Parto_S1,S,1,Parto_S,1090,-5.9,7.7,17.9,5.2,-14.7,-3.7,7,-2.8,-10.3,2,12.4,1.2,79,136,530,187,938,170,0,202,0,118,686,98,2531,1470,517,1532,0,1,10,4,1,26,89,28,73,100,8,87,0,114,252,37,0,61,0,0,63,59,66,71
155,Parto_S2,S,2,Parto_S,1161,-5.8,7.8,17.8,5.1,-14.7,-3.7,7,-2.8,-10.2,2,12.4,1.2,82,143,574,197,932,170,0,202,0,118,686,98,2525,1469,517,1534,0,1,10,4,1,26,89,28,76,105,8,92,0,114,251,37,0,60,0,0,62,59,66,71
156,Parto_S3,S,3,Parto_S,1211,-5.8,7.7,17.7,5.1,-14.7,-3.7,7,-2.8,-10.2,2,12.4,1.1,85,148,602,203,929,171,0,204,0,116,681,97,2521,1473,522,1538,0,1,9,4,1,26,89,27,79,109,9,96,0,114,249,37,0,59,0,0,62,59,66,71
157,Parto_S4,S,4,Parto_S,1076,-6,7.6,17.8,5.1,-14.7,-3.7,6.9,-2.8,-10.4,2,12.3,1.2,78,135,518,185,943,172,0,203,0,115,678,97,2536,1476,525,1536,0,1,9,4,1,25,89,27,73,100,8,87,0,114,251,37,0,61,0,0,63,59,66,71
158,Parto_S5,S,5,Parto_S,1113,-5.9,7.6,17.7,5.1,-14.7,-3.7,6.9,-2.8,-10.3,1.9,12.3,1.1,80,138,541,190,937,173,0,204,0,115,676,96,2530,1478,526,1539,0,1,9,4,1,25,89,27,74,102,8,90,0,113,250,37,0,60,0,0,62,59,66,71
159,Parto_S6,S,6,Parto_S,1236,-5.7,7.6,17.6,5,-14.7,-3.8,6.9,-2.9,-10.2,1.9,12.3,1.1,87,151,611,207,929,173,0,206,0,113,671,94,2522,1480,531,1543,0,1,9,4,1,25,89,27,80,112,10,99,0,113,247,37,0,58,0,0,62,59,66,71
160,Parto_A1,A,1,Parto_A,1275,-5.6,7.7,17.7,5.1,-14.6,-3.7,7,-2.8,-10.1,2,12.4,1.1,89,155,642,212,923,171,0,205,1,116,681,96,2516,1473,522,1540,0,1,9,4,1,26,89,27,82,114,10,100,0,114,248,37,0,58,0,0,61,59,66,71
161,Parto_A2,A,2,Parto_A,1281,-5.6,7.7,17.7,5.1,-14.6,-3.8,7.1,-2.9,-10.1,2,12.4,1.1,89,156,647,213,921,172,0,207,1,116,681,96,2512,1473,521,1542,0,1,9,4,1,26,89,27,82,114,10,101,0,114,248,37,0,57,0,0,61,59,66,71
162,Parto_A3,A,3,Parto_A,1335,-5.5,7.7,17.6,5.1,-14.7,-3.7,7.1,-2.9,-10.1,2,12.3,1.1,92,161,674,221,924,171,0,207,0,115,678,96,2517,1474,524,1543,0,1,9,4,1,26,89,27,85,119,10,105,0,113,246,36,0,56,0,0,61,59,67,71
163,Parto_A4,A,4,Parto_A,1395,-5.6,7.6,17.4,5,-14.7,-3.8,7,-2.9,-10.2,1.9,12.2,1,96,167,697,229,925,173,0,207,0,111,666,93,2518,1481,536,1547,0,1,9,3,1,26,89,27,89,124,11,110,0,112,244,36,0,55,0,0,61,59,67,71
164,Parto_A5,A,5,Parto_A,1425,-5.5,7.6,17.4,5,-14.8,-3.8,7.1,-2.9,-10.2,1.9,12.2,1,97,171,716,233,926,172,0,208,0,112,669,93,2519,1478,533,1547,0,1,9,4,1,26,89,27,91,126,11,112,0,112,244,36,0,55,0,0,60,59,67,71
